# time, steer_desired, steer 
0.10800000000000008,0.1,0.06475359560643026
0.10900000000000008,0.1,0.06535988431889557
0.11000000000000008,0.1,0.06590554544930878
0.11100000000000008,0.1,0.06639664216821212
0.11200000000000009,0.1,0.06683863121442143
0.11300000000000009,0.1,0.06747004080634264
0.11400000000000009,0.1,0.0680383107709863
0.11500000000000009,0.1,0.06854975497599608
0.11600000000000009,0.1,0.06901005638011957
0.11700000000000009,0.1,0.06942432953927175
0.11800000000000009,0.1,0.07001467994619709
0.11900000000000009,0.1,0.0705459965832077
0.12000000000000009,0.1,0.07102418273718646
0.1210000000000001,0.1,0.07145455181120437
0.1220000000000001,0.1,0.0718418857684182
0.1230000000000001,0.1,0.07239259773317125
0.1240000000000001,0.1,0.07288823970866103
0.12500000000000008,0.1,0.07333431860874663
0.12600000000000008,0.1,0.07373579106922158
0.12700000000000009,0.1,0.07409711796975572
